"Olympic Distance Triathlon","OTHER"
"The Canadian Evening Half-Marathon","HALF"
"30 km OMA Championships","OTHER"
"Long Course Duathlon","OTHER"
"1.65 KM","FIVE"
"The Canadian Iron 226 Triathlon","OTHER"
"Nage 5 km","FIVE"
"Triathlon initiation - 10-99 ans","OTHER"
"Triathlon sprint - Grand Prix","OTHER"
"31 Classique","OTHER"
"Triathlon O2","OTHER"
"Sprintman (20 Top Hommes et 20 Top Femmes)","HALF"
"Nage Velo Initiation","OTHER"
"27 KM Patin/Skate","OTHER"
"Co operators 5km","FIVE"
"16 km Classique","OTHER"
"Short Course Duathlon","OTHER"
"Jour 2 - 22 km Patin/Style Libre","OTHER"
"Triathlon Série Grand Prix - Finale A","OTHER"
"Coupe des Maitres - Poursuite Finale","OTHER"
"Jour 1 - 20 km Classique","HALF"
"Triathlon sprint élites","OTHER"
"31 km Patin/Skate","OTHER"
"Intermediaire","OTHER"
"5 km Run","FIVE"
"Defi Super Sprint","OTHER"
"1 km Natation","OTHER"
"2km","OTHER"
